Entity,Code,Year,GDP per capita (Bolt and van Zanden (2015)) (international dollars (in 1990 prices))
Afghanistan,AFG,1950,645
Afghanistan,AFG,1951,653
Afghanistan,AFG,1952,664
Afghanistan,AFG,1953,692
Afghanistan,AFG,1954,694
Afghanistan,AFG,1955,695
Afghanistan,AFG,1956,713
Afghanistan,AFG,1957,699
Afghanistan,AFG,1958,723
Afghanistan,AFG,1959,729
Afghanistan,AFG,1960,739
Afghanistan,AFG,1961,730
Afghanistan,AFG,1962,726
Afghanistan,AFG,1963,723
Afghanistan,AFG,1964,720
Afghanistan,AFG,1965,720
Afghanistan,AFG,1966,710
Afghanistan,AFG,1967,712
Afghanistan,AFG,1968,719
Afghanistan,AFG,1969,713
Afghanistan,AFG,1970,709
Afghanistan,AFG,1971,659
Afghanistan,AFG,1972,630
Afghanistan,AFG,1973,684
Afghanistan,AFG,1974,703
Afghanistan,AFG,1975,721
Afghanistan,AFG,1976,737
Afghanistan,AFG,1977,669
Afghanistan,AFG,1978,704
Afghanistan,AFG,1979,689
Afghanistan,AFG,1980,690
Afghanistan,AFG,1981,764
Afghanistan,AFG,1982,833
Afghanistan,AFG,1983,863
Afghanistan,AFG,1984,847
Afghanistan,AFG,1985,819
Afghanistan,AFG,1986,878
Afghanistan,AFG,1987,726
Afghanistan,AFG,1988,656
Afghanistan,AFG,1989,640
Afghanistan,AFG,1990,604
Afghanistan,AFG,1991,601
Afghanistan,AFG,1992,553
Afghanistan,AFG,1993,476
Afghanistan,AFG,1994,426
Afghanistan,AFG,1995,512
Afghanistan,AFG,1996,526
Afghanistan,AFG,1997,541
Afghanistan,AFG,1998,556
Afghanistan,AFG,1999,571
Afghanistan,AFG,2000,565
Afghanistan,AFG,2001,507
Afghanistan,AFG,2002,619
Afghanistan,AFG,2003,668
Afghanistan,AFG,2004,685
Afghanistan,AFG,2005,758
Afghanistan,AFG,2006,790
Afghanistan,AFG,2007,863
Afghanistan,AFG,2008,869
Albania,ALB,1870,446
Albania,ALB,1890,598
Albania,ALB,1900,685
Albania,ALB,1910,780
Albania,ALB,1913,811
Albania,ALB,1929,926
Albania,ALB,1950,1001
Albania,ALB,1951,1045
Albania,ALB,1952,1046
Albania,ALB,1953,1089
Albania,ALB,1954,1120
Albania,ALB,1955,1181
Albania,ALB,1956,1193
Albania,ALB,1957,1269
Albania,ALB,1958,1326
Albania,ALB,1959,1381
Albania,ALB,1960,1451
Albania,ALB,1961,1463
Albania,ALB,1962,1511
Albania,ALB,1963,1563
Albania,ALB,1964,1616
Albania,ALB,1965,1675
Albania,ALB,1966,1738
Albania,ALB,1967,1804
Albania,ALB,1968,1869
Albania,ALB,1969,1932
Albania,ALB,1970,2004
Albania,ALB,1971,2084
Albania,ALB,1972,2165
Albania,ALB,1973,2273
Albania,ALB,1974,2282
Albania,ALB,1975,2289
Albania,ALB,1976,2299
Albania,ALB,1977,2309
Albania,ALB,1978,2319
Albania,ALB,1979,2331
Albania,ALB,1980,2347
Albania,ALB,1981,2360
Albania,ALB,1982,2373
Albania,ALB,1983,2387
Albania,ALB,1984,2400
Albania,ALB,1985,2413
Albania,ALB,1986,2428
Albania,ALB,1987,2443
Albania,ALB,1988,2459
Albania,ALB,1989,2477
Albania,ALB,1990,2499.40014397
Albania,ALB,1991,1835.70614945
Albania,ALB,1992,1764.00383422
Albania,ALB,1993,1936.94943063
Albania,ALB,1994,2067.46728183
Albania,ALB,1995,2307.58411429
Albania,ALB,1996,2481.8563086999998
Albania,ALB,1997,2197.91225013
Albania,ALB,1998,2405.34460956
Albania,ALB,1999,2751.88532702
Albania,ALB,2000,2962.27935715
Albania,ALB,2001,3228.52337856
Albania,ALB,2002,3397.68399482
Albania,ALB,2003,3627.05840271
Albania,ALB,2004,3864.39450302
Albania,ALB,2005,4116.77596296
Albania,ALB,2006,4367.43823061
Albania,ALB,2007,4647.31378692
Albania,ALB,2008,5010.03177789
Albania,ALB,2009,5178.86690407
Albania,ALB,2010,5374.99080987
Algeria,DZA,1820,430
Algeria,DZA,1870,715
Algeria,DZA,1913,1163
Algeria,DZA,1950,1365
Algeria,DZA,1951,1347
Algeria,DZA,1952,1376
Algeria,DZA,1953,1369
Algeria,DZA,1954,1437
Algeria,DZA,1955,1445
Algeria,DZA,1956,1553
Algeria,DZA,1957,1693
Algeria,DZA,1958,1719
Algeria,DZA,1959,1994
Algeria,DZA,1960,2088
Algeria,DZA,1961,1799
Algeria,DZA,1962,1433
Algeria,DZA,1963,1768
Algeria,DZA,1964,1806
Algeria,DZA,1965,1870
Algeria,DZA,1966,1725
Algeria,DZA,1967,1824
Algeria,DZA,1968,1977
Algeria,DZA,1969,2105
Algeria,DZA,1970,2249
Algeria,DZA,1971,2000
Algeria,DZA,1972,2350
Algeria,DZA,1973,2357
Algeria,DZA,1974,2428
Algeria,DZA,1975,2522
Algeria,DZA,1976,2608
Algeria,DZA,1977,2759
Algeria,DZA,1978,3019
Algeria,DZA,1979,3192
Algeria,DZA,1980,3152
Algeria,DZA,1981,3131
Algeria,DZA,1982,3228
