country, colonizer, independence_year
Afghanistan, United Kingdom,  1919
Algeria, France,  1962
Angola, Portugal,  1975
Australia, United Kingdom,  1931
Bahamas, United Kingdom,  1973
Bahrain, United Kingdom,  1971
Barbados, United Kingdom,  1966
Belize, United Kingdom,  1981
Benin, France,  1960
Botswana, United Kingdom,  1966
Brunei, United Kingdom,  1984
Burkina Faso, France,  1960
Burundi, Belgium,  1962
Cambodia, France,  1953
Cameroon, United Kingdom,  1961
Canada, United Kingdom,  1931
Cape Verde, Portugal,  1975
Central African Republic, France,  1960
Chad, France,  1960
Congo, Belgium,  1960
Cyprus, United Kingdom,  1960
Dominica, United Kingdom,  1978
Egypt, United Kingdom,  1922
Fiji, United Kingdom,  1970
Finland, Russia, 1917
Gabon, France,  1960
Gambia, United Kingdom,  1965
Ghana, United Kingdom,  1957
Grenada, United Kingdom,  1974
Guinea, France,  1958
Guinea-Bissau, Portugal,  1974
Guyana, United Kingdom,  1966
India, United Kingdom,  1947
Ireland, United Kingdom,  1922
Iraq, United Kingdom,  1932
Israel, United Kingdom,  1947
Jamaica, United Kingdom,  1962
Jordan, United Kingdom,  1946
Kazakhstan, Russia, 1990
Kenya, United Kingdom,  1963
Kiribati, United Kingdom,  1979
Kuwait, United Kingdom,  1961
Kyrgyzstan, Russia, 1991
Laos, France,  1953
Latvia, Russia, 1991
Lesotho, United Kingdom,  1966
Liberia, United States,  1847
Libya, United Kingdom,  1951
Lithuania, Russia, 1990
Madagascar, France,  1960
Malawi, United Kingdom,  1964
Malaysia, United Kingdom,  1964
Maldives, United Kingdom,  1965
Mali, France,  1960
Malta, United Kingdom,  1964
Mauritania, France,  1960
Mauritius, United Kingdom,  1968
Moldova, Russia, 1991
Morocco, France,  1956
Mozambique, Portugal,  1975
Burma, United Kingdom,  1948
Nauru, United Kingdom,  1968
New Zealand, United Kingdom,  1931
Niger, France,  1960
Nigeria, United Kingdom,  1960
Pakistan, United Kingdom,  1947
Poland, Russia, 1989
Qatar, United Kingdom,  1971
Ukraine, Russia, 1990
Rwanda, Germany,  1962
Saint Lucia, United Kingdom,  1979
Saint Kitts and Nevis, United Kingdom,  1983
Saint Vincent and the Grenadines, United Kingdom,  1979
Senegal, France,  1960
Seychelles, United Kingdom,  1976
Sierra Leone, United Kingdom,  1961
Solomon Islands, United Kingdom,  1978
South Africa, United Kingdom,  1961
Somaliland, United Kingdom,  1960
Sri Lanka, United Kingdom,  1948
Sudan, United Kingdom,  1956
Swaziland, United Kingdom,  1968
Tanzania, United Kingdom,  1961
Tajikistan, Russia, 1991
Togo, Germany,  1960
Tonga, United Kingdom,  1970
Trinidad and Tobago, United Kingdom,  1962
Turkmenistan, Russia, 1991
Tunisia, France,  1956
Tuvalu, United Kingdom,  1978
Uganda, United Kingdom,  1962
United Arab Emirates, United Kingdom,  1971
Uzbekistan, Russia, 1991
Vanuatu, United Kingdom,  1980
Vietnam, France,  1945
Yemen, United Kingdom,  1967
Zambia, United Kingdom,  1964
Zimbabwe, United Kingdom,  1980
